"participant_ID","gender","age","bothered_about_poor_IQ","student"
"c766f70c-078c-484e-bdad-c4d9d048a167","male",19,"annoyed",TRUE
"c8a6f981-38b6-42b6-a504-ad89982c38fd","male",19,"very annoyed",TRUE
"d72c7350-11c9-471d-9acf-ac647cfff451","female",21,"annoyed",TRUE
"23ae4b20-6765-485a-b598-bf0ce0ee7939","male",19,"very annoyed",TRUE
"35736522-7a1f-4f34-968e-7c8c51c77cb7","male",20,"slightly annoyed",TRUE
"410e345f-8c73-4f0e-8df6-cda128fa4248","female",19,"annoyed",TRUE
"6b1125fe-d037-4f5b-ad3e-7019ca55afcc","male",19,"annoyed",TRUE
"8ecbf4da-3c4f-46f8-a0fd-43cd72bbfa37","female",20,"very annoyed",TRUE
"a343c0d5-3ccd-462e-8721-f2223bfc4bae","male",19,"very annoyed",TRUE
"ede56a3d-8ba5-4a1d-bca2-db4b14d2831e","female",19,"annoyed",FALSE
"f9a81074-dfef-43b3-b5d9-5dbc098e68e7","male",19,"slightly annoyed",TRUE
"32fdec0f-212e-4521-8b09-d4c640f76f84","male",19,"very annoyed",TRUE
"517c1837-22d3-484d-9105-e867ffef1986","male",19,"very annoyed",TRUE
"7ed60857-8d40-4d9d-8a45-f6577ee76f41","female",19,"annoyed",TRUE
"a6fd79f8-7bb5-4875-8ec1-6cc5a86716d1","male",19,"annoyed",TRUE
"11ba703b-2e27-4161-99de-2508337f268e","male",20,"annoyed",TRUE
"a104447a-1682-42e5-933f-0e334997d0d7","male",20,"very annoyed",FALSE
"82a07e6b-9dc1-42bb-94f8-35eb8747e025","male",19,"annoyed",TRUE
"cba0d18d-31b0-4d7f-99a1-71e960c8db13","male",19,"annoyed",TRUE
"d0c4c327-fa41-481e-9a6c-f44f0f40644d","male",19,"slightly annoyed",TRUE
"ef69a56f-d66b-4578-8439-7fd9d1fae1a5","male",19,"slightly annoyed",TRUE
"f8d36f66-ad3a-408a-bca8-f6711bbe2d24","male",19,"very annoyed",TRUE
"1938c15b-0db0-4073-89a4-d4ebd50be90d","male",19,"very annoyed",TRUE
"069f763a-ecaa-478e-8788-56cd5ebff1ed","male",19,"annoyed",TRUE
"2bd51587-7131-46db-ba3f-5226b7e3db29","male",20,"very annoyed",TRUE
"31e75f4b-4bda-4a8f-a6fc-4173e6f462ff","male",19,"I can't say",TRUE
"3d393435-a2aa-4478-9307-87e1884c7b3e","male",19,"very annoyed",TRUE
"45761d19-e19b-4795-8215-a6fc841c8450","male",20,"annoyed",TRUE
"4ee1080c-fbbe-4b4b-b8b6-f4e1b8e76114","male",19,"slightly annoyed",TRUE
"53c3458b-0db4-44f8-9fe3-22c5803e1528","male",20,"very annoyed",TRUE
"541acbf3-296b-4bbd-8975-439127f3df36","male",19,"annoyed",TRUE
"5ba160f0-27ff-4d4a-8b83-207b0ab8cd68","male",19,"annoyed",TRUE
"6173eeae-d36f-45ed-8fea-869710fe8ec8","male",20,"very annoyed",TRUE
"652c58f7-6f72-48c2-b3b3-43c22c688e4d","male",19,"annoyed",TRUE
"7b3ece16-abe6-4e24-97f8-95395f7da5bc","male",19,"very annoyed",TRUE
"7c3d12e1-164f-4add-aa16-3eae05509fdc","male",20,"very annoyed",TRUE
